Fecha;Lectura (kWh);Origen;Facturada;
 13 NOV 19;4299;Empresa (real);Si;
 13 OCT 19;4084;Empresa (real);Si;
 13 SEP 19;4060;Empresa (real);Si;
 13 AGO 19;4017;Empresa (real);Si;
 13 JUL 19;3913;Empresa (real);Si;
 13 JUN 19;3881;Empresa (real);Si;
 13 MAY 19;3849;Empresa (real);Si;
 13 ABR 19;3739;Empresa (real);Si;
 13 MAR 19;3668;Empresa (real);Si;
 13 FEB 19;3619;Empresa (real);Si;
 13 ENE 19;3584;Empresa (real);Si;
 13 DIC 18;3441;Empresa (real);Si;
 13 NOV 18;3409;Empresa (real);Si;
 13 OCT 18;3375;Empresa (real);Si;
 13 SEP 18;3314;Empresa (real);Si;
 13 AGO 18;3257;Empresa (real);Si;
 13 JUL 18;3169;Empresa (real);Si;
 13 JUN 18;3100;Empresa (real);Si;
 13 MAY 18;3060;Empresa (real);Si;
 13 ABR 18;2851;Empresa (real);Si;
 13 MAR 18;2770;Empresa (real);Si;
 13 FEB 18;2653;Empresa (real);Si;
 13 ENE 18;2315;Empresa (real);Si;
 31 DIC 17;2163;Empresa (real);Si;
 13 DIC 17;1953;Empresa (real);Si;
	
